en,es

Deletion Risk Explorer,Explorador de riesgos de eliminación

Treatment Seeking Rate,Tasa de búsqueda de tratamiento
HRP3 Cross-Reactivity,Reactividad cruzada HRP3
Adherence to RDT Outcomes,Adherencia a los resultados de las PDR
Microscopy Based Diagnosis,Diagnóstico basado en microscopía
Malaria Prevalence,Prevalencia de malaria
Deletion Fitness,Aptitud de eliminación

Region,Región
Change Language,Cambiar idioma

Overview,Descripción general
About the Scores,Acerca de las puntuaciones
Innate Risk Map,Mapa de riesgo innato
Prospective Risk Map,Mapa de riesgos prospectivo
