en,fr

Deletion Risk Explorer,Explorateur des risques de suppression

Treatment Seeking Rate,Taux de recherche de traitement
HRP3 Cross-Reactivity,Réactivité croisée HRP3
Adherence to RDT Outcomes,Adhésion aux résultats du RDT
Microscopy Based Diagnosis,Diagnostic basé sur la microscopie
Malaria Prevalence,Prévalence du paludisme
Deletion Fitness,Suppression de remise en forme

Region,Région
Change Language,Changer de langue

Overview,Aperçu
About the Scores,À propos des partitions
Innate Risk Map,Carte des risques innés
Prospective Risk Map,Carte des risques prospectifs
