en,es
WHO hrp2/3 deletions projections,Proyecciones de deleciones hrp2/3 de la OMS
Treatment Coverage,Cobertura de tratamiento
Probability Seeking Treatment for Malaria Fever,Probabilidad de buscar tratamiento para la fiebre de la malaria
Probability of being treated based only on RDT outcome,Probabilidad de recibir tratamiento basada únicamente en el resultado de la PDR
Malaria Prevalence,Prevalencia de malaria
Assumed malaria prevalence,Prevalencia supuesta de paludismo
HRP3 Antigen Effects,Efectos del antígeno HRP3
Change Language,Cambiar idioma
Innate Rank,Rango innato
Composite Risk,Riesgo compuesto
HRP2 Frequency,Frecuencia HRP2
Description,Descripción
