en,fr
WHO hrp2/3 deletions projections,Projections de délétions hrp2/3 de l'OMS
Treatment Coverage,Couverture du traitement
Probability Seeking Treatment for Malaria Fever,Probabilité de rechercher un traitement contre la fièvre paludéenne
Probability of being treated based only on RDT outcome,Probabilité d'être traité basée uniquement sur le résultat du TDR
Malaria Prevalence,Prévalence du paludisme
Assumed malaria prevalence,Prévalence présumée du paludisme
HRP3 Antigen Effects,Effets de l'antigène HRP3
Change Language,Changer de langue
Innate Rank,Rang inné
Composite Risk,Risque composé
HRP2 Frequency,Fréquence HRP2
Description,Description
