Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28116335,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2010,,,,,,,,,1 324 264,1324264,,,,2022-02-10T08:24:47Z,2010,2010-01-01,2010-12-31
28116336,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2011,,,,,,,,,1 147 473,1147473,,,,2022-02-10T08:24:47Z,2011,2011-01-01,2011-12-31
28116337,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2012,,,,,,,,,1 056 563,1056563,,,,2022-02-10T08:24:47Z,2012,2012-01-01,2012-12-31
28116338,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2013,,,,,,,,,1 462 941,1462941,,,,2022-02-10T08:24:47Z,2013,2013-01-01,2013-12-31
28116339,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2014,,,,,,,,,1 431 313,1431313,,,,2022-02-10T08:24:47Z,2014,2014-01-01,2014-12-31
28116340,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2015,,,,,,,,,1 396 773,1396773,,,,2022-02-10T08:24:47Z,2015,2015-01-01,2015-12-31
28116341,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2016,,,,,,,,,2 058 128,2058128,,,,2022-02-10T08:24:47Z,2016,2016-01-01,2016-12-31
28116342,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2017,,,,,,,,,2 199 810,2199810,,,,2022-02-10T08:24:47Z,2017,2017-01-01,2017-12-31
28116343,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2018,,,,,,,,,2 442 500,2442500,,,,2022-02-10T08:24:47Z,2018,2018-01-01,2018-12-31
28116344,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2019,,,,,,,,,2 557 385,2557385,,,,2022-02-10T08:24:47Z,2019,2019-01-01,2019-12-31
28116345,MALARIA_MICR_POS,COUNTRY,AGO,YEAR,2020,,,,,,,,,2 359 788,2359788,,,,2022-02-10T08:24:47Z,2020,2020-01-01,2020-12-31
28116346,MALARIA_MICR_POS,COUNTRY,BDI,YEAR,2010,,,,,,,,,1 599 908,1599908,,,,2022-02-10T08:24:47Z,2010,2010-01-01,2010-12-31
28116347,MALARIA_MICR_POS,COUNTRY,BDI,YEAR,2011,,,,,,,,,1 485 332,1485332,,,,2022-02-10T08:24:47Z,2011,2011-01-01,2011-12-31
28116348,MALARIA_MICR_POS,COUNTRY,BDI,YEAR,2012,,,,,,,,,1 484 676,1484676,,,,2022-02-10T08:24:47Z,2012,2012-01-01,2012-12-31
28116349,MALARIA_MICR_POS,COUNTRY,BDI,YEAR,2013,,,,,,,,,2 366 134,2366134,,,,2022-02-10T08:24:47Z,2013,2013-01-01,2013-12-31
28116350,MALARIA_MICR_POS,COUNTRY,BDI,YEAR,2014,,,,,,,,,2 718 391,2718391,,,,2022-02-10T08:24:47Z,2014,2014-01-01,2014-12-31
28116351,MALARIA_MICR_POS,COUNTRY,BDI,YEAR,2015,,,,,,,,,1 964 862,1964862,,,,2022-02-10T08:24:47Z,2015,2015-01-01,2015-12-31
28116352,MALARIA_MICR_POS,COUNTRY,BDI,YEAR,2016,,,,,,,,,2 520 622,2520622,,,,2022-02-10T08:24:47Z,2016,2016-01-01,2016-12-31
28116353,MALARIA_MICR_POS,COUNTRY,BDI,YEAR,2017,,,,,,,,,2 269 831,2269831,,,,2022-02-10T08:24:47Z,2017,2017-01-01,2017-12-31
28116354,MALARIA_MICR_POS,COUNTRY,BDI,YEAR,2018,,,,,,,,,1 148 316,1148316,,,,2022-02-10T08:24:47Z,2018,2018-01-01,2018-12-31
28116355,MALARIA_MICR_POS,COUNTRY,BDI,YEAR,2019,,,,,,,,,1 759 011,1759011,,,,2022-02-10T08:24:47Z,2019,2019-01-01,2019-12-31
