Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28111731,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2010,,,,,,,,,358 606,358606,,,,2022-02-10T07:52:00Z,2010,2010-01-01,2010-12-31
28111732,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2011,,,,,,,,,484 809,484809,,,,2022-02-10T07:52:00Z,2011,2011-01-01,2011-12-31
28111733,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2012,,,,,,,,,440 271,440271,,,,2022-02-10T07:52:00Z,2012,2012-01-01,2012-12-31
28111734,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2013,,,,,,,,,536 927,536927,,,,2022-02-10T07:52:00Z,2013,2013-01-01,2013-12-31
28111735,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2014,,,,,,,,,867 666,867666,,,,2022-02-10T07:52:00Z,2014,2014-01-01,2014-12-31
28111736,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2015,,,,,,,,,1 372 532,1372532,,,,2022-02-10T07:52:00Z,2015,2015-01-01,2015-12-31
28111737,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2016,,,,,,,,,1 736 125,1736125,,,,2022-02-10T07:52:00Z,2016,2016-01-01,2016-12-31
28111738,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2017,,,,,,,,,1 675 082,1675082,,,,2022-02-10T07:52:00Z,2017,2017-01-01,2017-12-31
28111739,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2018,,,,,,,,,2 708 075,2708075,,,,2022-02-10T07:52:00Z,2018,2018-01-01,2018-12-31
28111740,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2019,,,,,,,,,4 497 593,4497593,,,,2022-02-10T07:52:00Z,2019,2019-01-01,2019-12-31
28111741,MALARIA_RDT_POS,COUNTRY,AGO,YEAR,2020,,,,,,,,,4 239 539,4239539,,,,2022-02-10T07:52:00Z,2020,2020-01-01,2020-12-31
28111742,MALARIA_RDT_POS,COUNTRY,BDI,YEAR,2010,,,,,,,,,163 539,163539,,,,2022-02-10T07:52:00Z,2010,2010-01-01,2010-12-31
28111743,MALARIA_RDT_POS,COUNTRY,BDI,YEAR,2011,,,,,,,,,89 905,89905,,,,2022-02-10T07:52:00Z,2011,2011-01-01,2011-12-31
28111744,MALARIA_RDT_POS,COUNTRY,BDI,YEAR,2012,,,,,,,,,682 014,682014,,,,2022-02-10T07:52:00Z,2012,2012-01-01,2012-12-31
28111745,MALARIA_RDT_POS,COUNTRY,BDI,YEAR,2013,,,,,,,,,1 812 204,1812204,,,,2022-02-10T07:52:00Z,2013,2013-01-01,2013-12-31
28111746,MALARIA_RDT_POS,COUNTRY,BDI,YEAR,2014,,,,,,,,,2 007 908,2007908,,,,2022-02-10T07:52:00Z,2014,2014-01-01,2014-12-31
28111747,MALARIA_RDT_POS,COUNTRY,BDI,YEAR,2015,,,,,,,,,3 463 848,3463848,,,,2022-02-10T07:52:00Z,2015,2015-01-01,2015-12-31
28111748,MALARIA_RDT_POS,COUNTRY,BDI,YEAR,2016,,,,,,,,,6 272 554,6272554,,,,2022-02-10T07:52:00Z,2016,2016-01-01,2016-12-31
