Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28112464,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2010,,,,,,,,,4 591 529,4591529,,,,2022-02-10T07:59:14Z,2010,2010-01-01,2010-12-31
28112465,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2011,,,,,,,,,4 469 357,4469357,,,,2022-02-10T07:59:14Z,2011,2011-01-01,2011-12-31
28112466,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2012,,,,,,,,,4 849 418,4849418,,,,2022-02-10T07:59:14Z,2012,2012-01-01,2012-12-31
28112467,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2013,,,,,,,,,5 273 305,5273305,,,,2022-02-10T07:59:14Z,2013,2013-01-01,2013-12-31
28112468,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2014,,,,,,,,,6 134 471,6134471,,,,2022-02-10T07:59:14Z,2014,2014-01-01,2014-12-31
28112469,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2015,,,,,,,,,6 839 963,6839963,,,,2022-02-10T07:59:14Z,2015,2015-01-01,2015-12-31
28112470,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2016,,,,,,,,,7 649 902,7649902,,,,2022-02-10T07:59:14Z,2016,2016-01-01,2016-12-31
28112471,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2017,,,,,,,,,11 050 353,11050353,,,,2022-02-10T07:59:14Z,2017,2017-01-01,2017-12-31
28112472,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2018,,,,,,,,,10 870 446,10870446,,,,2022-02-10T07:59:14Z,2018,2018-01-01,2018-12-31
28112473,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2019,,,,,,,,,14 341 390,14341390,,,,2022-02-10T07:59:14Z,2019,2019-01-01,2019-12-31
28112474,MALARIA_SUSPECTS,COUNTRY,AGO,YEAR,2020,,,,,,,,,13 232 340,13232340,,,,2022-02-10T07:59:14Z,2020,2020-01-01,2020-12-31
28112475,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2010,,,,,,,,,5 590 736,5590736,,,,2022-02-10T07:59:14Z,2010,2010-01-01,2010-12-31
28112476,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2011,,,,,,,,,4 780 117,4780117,,,,2022-02-10T07:59:14Z,2011,2011-01-01,2011-12-31
28112477,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2012,,,,,,,,,4 270 100,4270100,,,,2022-02-10T07:59:14Z,2012,2012-01-01,2012-12-31
28112478,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2013,,,,,,,,,7 507 441,7507441,,,,2022-02-10T07:59:14Z,2013,2013-01-01,2013-12-31
28112479,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2014,,,,,,,,,7 831 895,7831895,,,,2022-02-10T07:59:14Z,2014,2014-01-01,2014-12-31
28112480,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2015,,,,,,,,,8 761 333,8761333,,,,2022-02-10T07:59:14Z,2015,2015-01-01,2015-12-31
28112481,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2016,,,,,,,,,13 022 128,13022128,,,,2022-02-10T07:59:14Z,2016,2016-01-01,2016-12-31
28112482,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2017,,,,,,,,,13 956 707,13956707,,,,2022-02-10T07:59:14Z,2017,2017-01-01,2017-12-31
28112483,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2018,,,,,,,,,8 734 322,8734322,,,,2022-02-10T07:59:14Z,2018,2018-01-01,2018-12-31
28112484,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2019,,,,,,,,,16 214 258,16214258,,,,2022-02-10T07:59:14Z,2019,2019-01-01,2019-12-31
28112485,MALARIA_SUSPECTS,COUNTRY,BDI,YEAR,2020,,,,,,,,,8 571 445,8571445,,,,2022-02-10T07:59:14Z,2020,2020-01-01,2020-12-31
28112486,MALARIA_SUSPECTS,COUNTRY,BEN,YEAR,2011,,,,,,,,,1 928 016,1928016,,,,2022-02-10T07:59:14Z,2011,2011-01-01,2011-12-31
28112487,MALARIA_SUSPECTS,COUNTRY,BEN,YEAR,2012,,,,,,,,,2 431 902,2431902,,,,2022-02-10T07:59:14Z,2012,2012-01-01,2012-12-31
28112488,MALARIA_SUSPECTS,COUNTRY,BEN,YEAR,2013,,,,,,,,,2 091 263,2091263,,,,2022-02-10T07:59:14Z,2013,2013-01-01,2013-12-31
28112489,MALARIA_SUSPECTS,COUNTRY,BEN,YEAR,2014,,,,,,,,,2 930 569,2930569,,,,2022-02-10T07:59:14Z,2014,2014-01-01,2014-12-31
28112490,MALARIA_SUSPECTS,COUNTRY,BEN,YEAR,2015,,,,,,,,,2 733 611,2733611,,,,2022-02-10T07:59:14Z,2015,2015-01-01,2015-12-31
28112491,MALARIA_SUSPECTS,COUNTRY,BEN,YEAR,2016,,,,,,,,,2 184 524,2184524,,,,2022-02-10T07:59:14Z,2016,2016-01-01,2016-12-31
28112492,MALARIA_SUSPECTS,COUNTRY,BEN,YEAR,2017,,,,,,,,,2 705 456,2705456,,,,2022-02-10T07:59:14Z,2017,2017-01-01,2017-12-31
28112493,MALARIA_SUSPECTS,COUNTRY,BEN,YEAR,2018,,,,,,,,,2 880 743,2880743,,,,2022-02-10T07:59:14Z,2018,2018-01-01,2018-12-31
28112494,MALARIA_SUSPECTS,COUNTRY,BEN,YEAR,2019,,,,,,,,,3 958 782,3958782,,,,2022-02-10T07:59:14Z,2019,2019-01-01,2019-12-31
28112495,MALARIA_SUSPECTS,COUNTRY,BEN,YEAR,2020,,,,,,,,,3 572 959,3572959,,,,2022-02-10T07:59:14Z,2020,2020-01-01,2020-12-31
28112496,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2010,,,,,,,,,6 037 806,6037806,,,,2022-02-10T07:59:14Z,2010,2010-01-01,2010-12-31
28112497,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2011,,,,,,,,,5 446 870,5446870,,,,2022-02-10T07:59:14Z,2011,2011-01-01,2011-12-31
28112498,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2012,,,,,,,,,7 852 299,7852299,,,,2022-02-10T07:59:14Z,2012,2012-01-01,2012-12-31
28112499,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2013,,,,,,,,,7 857 296,7857296,,,,2022-02-10T07:59:14Z,2013,2013-01-01,2013-12-31
28112500,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2014,,,,,,,,,9 272 755,9272755,,,,2022-02-10T07:59:14Z,2014,2014-01-01,2014-12-31
28112501,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2015,,,,,,,,,9 783 385,9783385,,,,2022-02-10T07:59:14Z,2015,2015-01-01,2015-12-31
28112502,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2016,,,,,,,,,12 006 793,12006793,,,,2022-02-10T07:59:14Z,2016,2016-01-01,2016-12-31
28112503,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2017,,,,,,,,,14 811 872,14811872,,,,2022-02-10T07:59:14Z,2017,2017-01-01,2017-12-31
28112504,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2018,,,,,,,,,14 931 136,14931136,,,,2022-02-10T07:59:14Z,2018,2018-01-01,2018-12-31
28112505,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2019,,,,,,,,,18 116 942,18116942,,,,2022-02-10T07:59:14Z,2019,2019-01-01,2019-12-31
28112506,MALARIA_SUSPECTS,COUNTRY,BFA,YEAR,2020,,,,,,,,,15 357 249,15357249,,,,2022-02-10T07:59:14Z,2020,2020-01-01,2020-12-31
28112507,MALARIA_SUSPECTS,COUNTRY,BWA,YEAR,2015,,,,,,,,,1 298,1298,,,,2022-02-10T07:59:14Z,2015,2015-01-01,2015-12-31
28112508,MALARIA_SUSPECTS,COUNTRY,BWA,YEAR,2016,,,,,,,,,12 986,12986,,,,2022-02-10T07:59:15Z,2016,2016-01-01,2016-12-31
28112509,MALARIA_SUSPECTS,COUNTRY,BWA,YEAR,2017,,,,,,,,,12 605,12605,,,,2022-02-10T07:59:15Z,2017,2017-01-01,2017-12-31
28112510,MALARIA_SUSPECTS,COUNTRY,BWA,YEAR,2018,,,,,,,,,13 979,13979,,,,2022-02-10T07:59:15Z,2018,2018-01-01,2018-12-31
28112511,MALARIA_SUSPECTS,COUNTRY,BWA,YEAR,2019,,,,,,,,,16 564,16564,,,,2022-02-10T07:59:15Z,2019,2019-01-01,2019-12-31
28112512,MALARIA_SUSPECTS,COUNTRY,BWA,YEAR,2020,,,,,,,,,9 148,9148,,,,2022-02-10T07:59:15Z,2020,2020-01-01,2020-12-31
28112513,MALARIA_SUSPECTS,COUNTRY,CAF,YEAR,2012,,,,,,,,,518 761,518761,,,,2022-02-10T07:59:15Z,2012,2012-01-01,2012-12-31
28112514,MALARIA_SUSPECTS,COUNTRY,CAF,YEAR,2013,,,,,,,,,546 095,546095,,,,2022-02-10T07:59:15Z,2013,2013-01-01,2013-12-31
28112515,MALARIA_SUSPECTS,COUNTRY,CAF,YEAR,2014,,,,,,,,,625 301,625301,,,,2022-02-10T07:59:15Z,2014,2014-01-01,2014-12-31
28112516,MALARIA_SUSPECTS,COUNTRY,CAF,YEAR,2015,,,,,,,,,1 218 246,1218246,,,,2022-02-10T07:59:15Z,2015,2015-01-01,2015-12-31
28112517,MALARIA_SUSPECTS,COUNTRY,CAF,YEAR,2016,,,,,,,,,2 095 095,2095095,,,,2022-02-10T07:59:15Z,2016,2016-01-01,2016-12-31
28112518,MALARIA_SUSPECTS,COUNTRY,CAF,YEAR,2017,,,,,,,,,1 533 258,1533258,,,,2022-02-10T07:59:15Z,2017,2017-01-01,2017-12-31
