"","iso","id_1","region"
"1","MAR",10315846,"Africa"
"2","MAR",10314277,"Africa"
"3","MAR",10316306,"Africa"
"4","DJI",10313203,"Africa"
"5","PRK",10313080,"Asia"
"6","BRA",10316009,"Latin America and the Caribbean"
"7","MAR",10314707,"Africa"
"8","MAR",10313809,"Africa"
"9","MAR",10313800,"Africa"
"10","MRT",10315545,"Africa"
"11","MRT",10315989,"Africa"
"12","MRT",10316188,"Africa"
"13","MRT",10313648,"Africa"
"14","MAR",10313579,"Africa"
"15","MAR",10314721,"Africa"
"16","MAR",10313397,"Africa"
"17","MAR",10312935,"Africa"
"18","MRT",10313587,"Africa"
"19","MRT",10315200,"Africa"
"20","MRT",10316103,"Africa"
"21","MAR",10313792,"Africa"
"22","MAR",10316366,"Africa"
"23","MRT",10312974,"Africa"
"24","MRT",10313942,"Africa"
"25","CPV",10313068,"Africa"
"26","CPV",10316095,"Africa"
"27","MAR",10314922,"Africa"
"28","CPV",10314990,"Africa"
"29","MAR",10315630,"Africa"
"30","MAR",10313934,"Africa"
"31","GNQ",10315169,"Africa"
"32","GNQ",10316118,"Africa"
"33","GNQ",10315162,"Africa"
"34","GNQ",10313108,"Africa"
"35","GNQ",10315598,"Africa"
"36","GNQ",10315502,"Africa"
"37","GNQ",10316356,"Africa"
"38","MRT",10315443,"Africa"
"39","MRT",10313341,"Africa"
"40","MRT",10316317,"Africa"
"41","IND",10315224,"Asia"
"42","KGZ",10314251,"Asia"
"43","MRT",10314325,"Africa"
"44","BRA",10316081,"Latin America and the Caribbean"
"45","BRA",10313542,"Latin America and the Caribbean"
"46","ARM",10314556,"Asia"
"47","SYR",10315362,"Asia"
"48","SYR",10314845,"Asia"
"49","ARM",10315685,"Asia"
"50","SYR",10314983,"Asia"
"51","SYR",10314272,"Asia"
"52","SYR",10314886,"Asia"
"53","SYR",10316257,"Asia"
"54","SYR",10315717,"Asia"
"55","SOM",10313264,"Africa"
"56","ARM",10313890,"Asia"
"57","ARM",10316404,"Asia"
"58","ARM",10313739,"Asia"
"59","SOM",10315513,"Africa"
"60","ARM",10313747,"Asia"
"61","KGZ",10313335,"Asia"
"62","KGZ",10315163,"Asia"
"63","ARM",10315038,"Asia"
"64","ARM",10316084,"Asia"
"65","ARM",10314165,"Asia"
"66","KGZ",10313316,"Asia"
"67","KGZ",10315983,"Asia"
"68","KGZ",10315527,"Asia"
"69","BRA",10314039,"Latin America and the Caribbean"
"70","BRA",10313738,"Latin America and the Caribbean"
"71","BRA",10315901,"Latin America and the Caribbean"
"72","BRA",10313993,"Latin America and the Caribbean"
"73","ARM",10313437,"Asia"
"74","ARM",10314237,"Asia"
"75","SYR",10315671,"Asia"
"76","SYR",10313532,"Asia"
"77","SYR",10315639,"Asia"
"78","BEN",10315599,"Africa"
"79","SYR",10316212,"Asia"
"80","BEN",10313908,"Africa"
"81","SYR",10316213,"Asia"
"82","SYR",10316273,"Asia"
"83","SYR",10313768,"Asia"
"84","TKM",10313623,"Asia"
"85","TKM",10315811,"Asia"
"86","TKM",10315913,"Asia"
"87","TKM",10314637,"Asia"
"88","TKM",10315271,"Asia"
"89","TKM",10315294,"Asia"
"90","OMN",10312972,"Asia"
"91","KGZ",10314328,"Asia"
"92","KGZ",10313201,"Asia"
"93","KGZ",10314485,"Asia"
"94","BRA",10313393,"Latin America and the Caribbean"
"95","BRA",10313001,"Latin America and the Caribbean"
"96","BRA",10316052,"Latin America and the Caribbean"
"97","BRA",10314795,"Latin America and the Caribbean"
"98","BRA",10313290,"Latin America and the Caribbean"
"99","OMN",10315771,"Asia"
"100","OMN",10313457,"Asia"
"101","BRA",10315760,"Latin America and the Caribbean"
"102","BRA",10314948,"Latin America and the Caribbean"
"103","BRA",10315222,"Latin America and the Caribbean"
"104","BRA",10316219,"Latin America and the Caribbean"
"105","BRA",10313787,"Latin America and the Caribbean"
"106","BRA",10315937,"Latin America and the Caribbean"
"107","BRA",10316156,"Latin America and the Caribbean"
"108","BRA",10315374,"Latin America and the Caribbean"
"109","BRA",10315514,"Latin America and the Caribbean"
"110","BRA",10315144,"Latin America and the Caribbean"
"111","BRA",10315622,"Latin America and the Caribbean"
"112","CMR",10315885,"Africa"
"113","CMR",10315127,"Africa"
"114","OMN",10315698,"Asia"
"115","OMN",10316243,"Asia"
"116","OMN",10312885,"Asia"
"117","OMN",10313194,"Asia"
"118","OMN",10314828,"Asia"
"119","OMN",10314809,"Asia"
"120","OMN",10314633,"Asia"
"121","OMN",10314971,"Asia"
"122","BEN",10315835,"Africa"
"123","BEN",10315483,"Africa"
"124","CMR",10314487,"Africa"
"125","CMR",10316034,"Africa"
"126","CMR",10316217,"Africa"
"127","CMR",10314668,"Africa"
"128","CMR",10313797,"Africa"
"129","CMR",10315446,"Africa"
"130","CMR",10316304,"Africa"
"131","CMR",10315130,"Africa"
"132","COD",10316392,"Africa"
"133","COD",10314703,"Africa"
"134","BEN",10312923,"Africa"
"135","COD",10015055,"Africa"
"136","COD",10015054,"Africa"
"137","COD",10015053,"Africa"
"138","COD",10314890,"Africa"
"139","COD",10015050,"Africa"
"140","COD",10015049,"Africa"
"141","COD",10015048,"Africa"
"142","COD",10015051,"Africa"
"143","COD",10015083,"Africa"
"144","BEN",10314689,"Africa"
"145","BEN",10315228,"Africa"
"146","BLZ",10313266,"Latin America and the Caribbean"
"147","COD",10015079,"Africa"
"148","COD",10015080,"Africa"
"149","COD",10015081,"Africa"
"150","COD",10015077,"Africa"
"151","COD",10015078,"Africa"
"152","BEN",10316078,"Africa"
"153","BEN",10314009,"Africa"
"154","BLZ",10313867,"Latin America and the Caribbean"
"155","COD",10015076,"Africa"
"156","COD",10015071,"Africa"
"157","COD",10015068,"Africa"
"158","COD",10015073,"Africa"
"159","BEN",10315943,"Africa"
"160","BEN",10316382,"Africa"
"161","COD",10313185,"Africa"
"162","COD",10015066,"Africa"
"163","COD",10015062,"Africa"
"164","COL",10315902,"Latin America and the Caribbean"
"165","COL",10315082,"Latin America and the Caribbean"
"166","COL",10312942,"Latin America and the Caribbean"
"167","COL",10314265,"Latin America and the Caribbean"
"168","BEN",10313578,"Africa"
"169","BLZ",10313991,"Latin America and the Caribbean"
"170","COL",10314693,"Latin America and the Caribbean"
"171","BLZ",10313586,"Latin America and the Caribbean"
"172","BLZ",10315173,"Latin America and the Caribbean"
"173","CHN",10314958,"Asia"
"174","CHN",10316050,"Asia"
"175","CHN",10313635,"Asia"
"176","CHN",10315116,"Asia"
"177","CHN",10001001,"Asia"
"178","CHN",10313666,"Asia"
"179","CHN",10316279,"Asia"
"180","CHN",10315028,"Asia"
"181","CHN",10314639,"Asia"
"182","CHN",10315518,"Asia"
"183","COL",10314036,"Latin America and the Caribbean"
"184","COL",10314008,"Latin America and the Caribbean"
"185","COL",10314898,"Latin America and the Caribbean"
"186","BLZ",10315383,"Latin America and the Caribbean"
"187","CHN",10314505,"Asia"
"188","CHN",10313565,"Asia"
"189","CHN",10315596,"Asia"
"190","CHN",10316298,"Asia"
"191","CHN",10314242,"Asia"
"192","CHN",10316274,"Asia"
"193","CHN",10315804,"Asia"
"194","CHN",10315312,"Asia"
"195","CHN",10316332,"Asia"
"196","CHN",10313238,"Asia"
"197","CHN",10314335,"Asia"
"198","CHN",10313225,"Asia"
"199","CHN",10313117,"Asia"
"200","CHN",10316173,"Asia"
"201","CHN",10315300,"Asia"
"202","CHN",10315711,"Asia"
"203","CHN",10314526,"Asia"
"204","CHN",10313914,"Asia"
"205","CHN",10313871,"Asia"
"206","CHN",10315910,"Asia"
"207","CHN",10313094,"Asia"
"208","CRI",10316240,"Latin America and the Caribbean"
"209","CRI",10315920,"Latin America and the Caribbean"
"210","CRI",10313498,"Latin America and the Caribbean"
"211","COL",10314136,"Latin America and the Caribbean"
"212","COL",10315718,"Latin America and the Caribbean"
"213","CRI",10316073,"Latin America and the Caribbean"
"214","CRI",10314879,"Latin America and the Caribbean"
"215","CRI",10313691,"Latin America and the Caribbean"
"216","DJI",10313677,"Africa"
"217","COL",10312999,"Latin America and the Caribbean"
"218","CRI",10314966,"Latin America and the Caribbean"
"219","DJI",10312953,"Africa"
"220","COL",10313428,"Latin America and the Caribbean"
"221","COL",10313564,"Latin America and the Caribbean"
"222","COL",10313353,"Latin America and the Caribbean"
"223","COL",10314732,"Latin America and the Caribbean"
"224","COL",10316171,"Latin America and the Caribbean"
"225","COL",10313915,"Latin America and the Caribbean"
"226","COL",10315635,"Latin America and the Caribbean"
"227","COL",10313704,"Latin America and the Caribbean"
"228","COL",10314606,"Latin America and the Caribbean"
"229","COL",10314310,"Latin America and the Caribbean"
"230","COL",10314428,"Latin America and the Caribbean"
"231","DJI",10315724,"Africa"
"232","DJI",10314957,"Africa"
"233","DZA",10314067,"Africa"
"234","DZA",10315049,"Africa"
"235","DZA",10314959,"Africa"
"236","COL",10316408,"Latin America and the Caribbean"
"237","DZA",10314420,"Africa"
"238","DZA",10315143,"Africa"
"239","DZA",10315255,"Africa"
"240","ZAF",10314096,"Africa"
"241","DZA",10313196,"Africa"
"242","DZA",10312879,"Africa"
"243","DZA",10314250,"Africa"
"244","DZA",10316311,"Africa"
"245","DZA",10314580,"Africa"
"246","DZA",10313247,"Africa"
"247","DZA",10313870,"Africa"
"248","DZA",10314474,"Africa"
"249","DZA",10316067,"Africa"
"250","DZA",10315726,"Africa"
"251","DZA",10315248,"Africa"
"252","DZA",10314577,"Africa"
"253","COL",10312924,"Latin America and the Caribbean"
"254","COL",10313002,"Latin America and the Caribbean"
"255","COL",10314286,"Latin America and the Caribbean"
"256","COL",10313855,"Latin America and the Caribbean"
"257","COL",10316026,"Latin America and the Caribbean"
"258","DZA",10314072,"Africa"
"259","DZA",10314031,"Africa"
"260","DZA",10313145,"Africa"
"261","DZA",10315226,"Africa"
"262","COL",10313254,"Latin America and the Caribbean"
"263","DZA",10314202,"Africa"
"264","DZA",10314623,"Africa"
"265","COL",10314925,"Latin America and the Caribbean"
"266","DZA",10315016,"Africa"
"267","GTM",10314711,"Latin America and the Caribbean"
"268","GTM",10313175,"Latin America and the Caribbean"
"269","ZAF",10314893,"Africa"
"270","ZAF",10313486,"Africa"
"271","ZAF",10315266,"Africa"
"272","ZAF",10315889,"Africa"
